Model,R2,MSE,RMSE,MAE,MAPE
XGBRegressor,0.9278,65.0107,8.0629,0.7226,2.7612
SVR (linear),1.0,0.0092,0.0958,0.0956,0.641
KNeighborsRegressor,0.9977,2.1004,1.4493,0.3081,1.7486
