Model,Accuracy,Precision,Recall,F1,AUC
XGBoost,1.0,1.0,1.0,1.0,1.0
SVC (linear),1.0,1.0,1.0,1.0,1.0
KNN,0.9999,0.9998,1.0,0.9999,1.0
