Model,Architecture,R2,MSE,RMSE,MAE,MAPE
MLP,128-64-1,0.9758,21.754,4.6641,3.1998,19.5725
LSTM,LSTM(64)-32-1,0.805,175.5212,13.2484,5.7688,30.4904
