Model,Mimari,R2,MSE,RMSE,MAE,MAPE
MLP,128-64-1,0.9798,18.1819,4.264,3.0275,19.9848
LSTM,LSTM(64)-32-1,0.8954,94.1315,9.7021,4.0765,21.6287
