Model,Architecture,R2,MSE,RMSE,MAE,MAPE
MLP,128-64-1,0.9748,22.6535,4.7596,3.3667,17.9444
LSTM,LSTM(64)-32-1,0.8758,111.7648,10.5719,4.3712,23.1359
